scale,ar,da,de,el,en,es,es_mx,et,fr,fr_be,he,hr,hu,hy,id,is,it,ja,ko,mk,nl,pt,ru,sl,sr,sv,tr
IPIP-TCI-NS4,,2,,,10*,,2,6,6,6,6,9,,2,,3,2,6,6,3,2,,,,10*,10*,10*
IPIP-TCI-P1,1,1,2,1,10*,1,1,7,8,8,7,9,,1,1,1,1,7,7,6,1,2,1,2,10*,10*,8
IPIP-TCI-P2,,,,,7*,,,1,1,1,1,7*,1,,,,,1,1,1,,,,,7*,7*,6
IPIP-TCI-P3,,2,,,7*,,2,2,3,3,2,3,,2,,,2,2,2,2,2,,,,7*,7*,6
IPIP-TCI-P4,1,3,1,1,7*,1,3,4,6,6,4,6,,3,1,2,3,4,4,4,2,1,1,1,7*,7*,5
IPIP-TCI-RD1,,1,2,1,4*,1,1,1,2,2,1,4*,,1,1,,1,1,1,1,1,2,1,2,4*,4*,3
IPIP-TCI-RD2,,,,,2*,,,,1,1,,2*,,,,,,,,,,,,,2*,2*,2*
IPIP-TCI-RD3,2,,3,2,8*,2,,1,2,2,1,5,1,,2,4,,2,1,,1,3,2,3,8*,8*,7
IPIP-TCI-RD4,,,,,8*,,,1,1,1,1,1,,,,,,1,1,,,,,,8*,8*,7
IPIP-TCI-S1,,,,,10*,,,1,3,3,1,6,,,,,,1,1,1,,,,,10*,10*,6
IPIP-TCI-S2,,1,,,9*,,1,1,2,2,1,2,,1,,,1,1,1,1,1,,,,9*,9*,7
IPIP-TCI-S3,1,3,2,,9*,,3,6,7,7,6,7,,3,,2,3,5,6,5,3,2,,2,9*,9*,8
IPIP-TCI-S4,,,,,8*,,,1,2,2,1,5,,,,4,,2,1,1,,,,,8*,8*,6
IPIP-TCI-S5,2,5,2,1,10*,1,5,7,8,8,7,10*,1,5,1,1,5,7,7,5,6,2,1,2,10*,10*,10*
IPIP-TCI-ST1,,1,1,1,4*,1,1,2,2,2,2,2,1,1,1,,1,2,2,2,2,1,1,1,4*,4*,4*
IPIP-TCI-ST2,,2,,,9*,,2,6,7,7,6,7,,2,,2,2,6,6,5,2,,,,9*,9*,7
IPIP-TCI-ST4,,1,,,6*,,1,1,1,1,1,1,,1,,,1,1,1,1,1,,,,6*,6*,5
IPIP-TCI-ST5,2,4,2,1,8*,1,4,4,4,4,4,6,,4,1,,4,4,4,4,4,2,1,2,8*,8*,6
IPIP-VIA,,2,,,213*,,2,3,3,3,3,5,191,2,,1,2,4,3,3,2,,,,213*,6,4
IPIP-VIA-App,,,,,8*,,,,,,,,8*,,,,,,,,,,,,8*,,
IPIP-VIA-Bra,,,,,10*,,,,,,,,10*,,,,,,,,,,,,10*,,
IPIP-VIA-Cap,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Cit,,,,,9*,,,1,1,1,1,1,8,,,1,,1,1,1,,,,,9*,1,1
IPIP-VIA-Crt,,,,,8*,,,,,,,,8*,,,,,,,,,,,,8*,,
IPIP-VIA-Cur,,,,,10*,,,,,,,,10*,,,,,,,,,,,,10*,,
IPIP-VIA-Equ,,1,,,9*,,1,1,1,1,1,2,9*,1,,,1,2,1,1,1,,,,9*,2,1
IPIP-VIA-For,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Gra,,,,,8*,,,,,,,,8*,,,,,,,,,,,,8*,,
IPIP-VIA-Hon,,1,,,9*,,1,1,1,1,1,1,9*,1,,,1,1,1,1,1,,,,9*,2,1
IPIP-VIA-Hop,,,,,8*,,,,,,,,8*,,,,,,,,,,,,8*,,
IPIP-VIA-Hum,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Ind,,,,,8*,,,,,,,1,8*,,,,,,,,,,,,8*,1,1
IPIP-VIA-Jud,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Kin,,,,,10*,,,,,,,,10*,,,,,,,,,,,,10*,,
IPIP-VIA-Lea,,,,,7*,,,,,,,,7*,,,,,,,,,,,,7*,,
IPIP-VIA-Lov,,,,,10*,,,,,,,,10*,,,,,,,,,,,,10*,,
IPIP-VIA-Mod,,,,,9*,,,,,,,,8,,,,,,,,,,,,9*,,
IPIP-VIA-Pru,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Sel,,,,,11*,,,,,,,,,,,,,,,,,,,,11*,,
IPIP-VIA-Soc,,,,,7*,,,,,,,,7*,,,,,,,,,,,,7*,,
IPIP-VIA-Spi,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Wis,,,,,9*,,,,,,,,9*,,,,,,,,,,,,9*,,
IPIP-VIA-Zes,,,,,9*,,,,,,,,,,,,,,,,,,,,9*,,
